event_id,home_team,away_team,match,tournament,kickoff,target,pick,model_prob_%,implied_prob_%,edge_%,decimal_odds,model_auc,has_odds_match,hit_rate_%,ht_home,ht_away,ft_home,ft_away,status,result
sr:match:74301722,FC Porto,Manchester City FC,FC Porto vs Manchester City FC,UEFA Youth League,2026-09-08 12:00,target__away_clean_sheet,Away Clean Sheet,31.4,24.4,7.1,4.1,0.6508,True,23.0,2.0,0.0,3.0,1.0,finished,LOST
sr:match:74077460,PEPO Lappeenranta,HIFK,PEPO Lappeenranta vs HIFK,Kakkonen,2026-09-08 16:30,target__away_clean_sheet,Away Clean Sheet,21.8,17.4,4.4,5.75,0.6508,True,23.0,0.0,0.0,2.0,1.0,finished,LOST
sr:match:73159944,Al-Ittihad Club,Al-Fayha FC,Al-Ittihad Club vs Al-Fayha FC,Saudi Pro League,2026-09-08 19:00,target__away_clean_sheet,Away Clean Sheet,21.8,14.7,7.1,6.8,0.6508,True,23.0,1.0,1.0,2.0,1.0,finished,LOST
sr:match:73943718,Doncaster Rovers,Huddersfield,Doncaster Rovers vs Huddersfield,EFL Trophy,2026-09-08 19:00,target__away_clean_sheet,Away Clean Sheet,38.5,33.3,5.1,3.0,0.6508,True,23.0,1.0,0.0,1.0,3.0,finished,LOST
sr:match:72758114,Tonbridge Angels,Maidstone United FC,Tonbridge Angels vs Maidstone United FC,National League South,2026-09-08 19:45,target__away_clean_sheet,Away Clean Sheet,38.5,33.3,5.1,3.0,0.6508,True,23.0,0.0,0.0,0.0,1.0,finished,WON
sr:match:74165878,Real Madrid,Inter,Real Madrid vs Inter,UEFA Champions League,2026-09-08 20:00,target__away_clean_sheet,Away Clean Sheet,21.8,15.2,6.6,6.6,0.6508,True,23.0,2.0,0.0,2.0,1.0,finished,LOST
sr:match:74158474,Millwall FC,Newcastle,Millwall FC vs Newcastle,EFL Cup,2026-09-08 20:00,target__away_clean_sheet,Away Clean Sheet,47.3,41.7,5.6,2.4,0.6508,True,23.0,0.0,0.0,0.0,1.0,finished,WON
sr:match:72339794,Bolton Wanderers,West Ham,Bolton Wanderers vs West Ham,Championship,2026-09-08 20:00,target__away_clean_sheet,Away Clean Sheet,47.3,37.7,9.5,2.65,0.6508,True,23.0,2.0,2.0,2.0,3.0,finished,LOST
sr:match:68687892,CS Emelec,Manta FC,CS Emelec vs Manta FC,LigaPro Primera A,2026-09-08 01:00,target__away_win,Away Win,23.6,19.0,4.5,5.25,0.7237,True,32.7,0.0,0.0,1.0,0.0,finished,LOST
sr:match:67817860,Ulsan HD FC,FC Seoul,Ulsan HD FC vs FC Seoul,K-League 1,2026-09-08 11:30,target__away_win,Away Win,50.0,46.5,3.5,2.15,0.7237,True,32.7,0.0,0.0,1.0,0.0,finished,LOST
sr:match:74301722,FC Porto,Manchester City FC,FC Porto vs Manchester City FC,UEFA Youth League,2026-09-08 12:00,target__away_win,Away Win,50.0,44.4,5.6,2.25,0.7237,True,32.7,2.0,0.0,3.0,1.0,finished,LOST
sr:match:71680602,Benin,Argentina,Benin vs Argentina,"U20 FIFA World Cup, Women",2026-09-08 14:00,target__away_win,Away Win,71.6,68.5,3.1,1.46,0.7237,True,32.7,0.0,3.0,0.0,8.0,finished,WON
sr:match:74301730,Borussia Dortmund,Villarreal CF,Borussia Dortmund vs Villarreal CF,UEFA Youth League,2026-09-08 15:00,target__away_win,Away Win,42.4,34.5,8.0,2.9,0.7237,True,32.7,1.0,1.0,2.0,3.0,finished,WON
sr:match:74148130,FK Ryazan,Spartak Kostroma,FK Ryazan vs Spartak Kostroma,Russian Cup,2026-09-08 15:00,target__away_win,Away Win,65.2,60.6,4.6,1.65,0.7237,True,32.7,0.0,2.0,0.0,2.0,finished,WON
sr:match:68214798,Nomme Kalju FC,FC Nomme United,Nomme Kalju FC vs FC Nomme United,Premium Liiga,2026-09-08 16:00,target__away_win,Away Win,23.6,18.2,5.4,5.5,0.7237,True,32.7,0.0,2.0,1.0,2.0,finished,WON
sr:match:74299634,FC Lahti,IFK Mariehamn,FC Lahti vs IFK Mariehamn,Veikkausliiga,2026-09-08 16:00,target__away_win,Away Win,23.6,18.2,5.4,5.5,0.7237,True,32.7,1.0,0.0,2.0,1.0,finished,LOST
sr:match:74299636,Tampereen Ilves,FF Jaro,Tampereen Ilves vs FF Jaro,Veikkausliiga,2026-09-08 16:00,target__away_win,Away Win,24.1,18.9,5.2,5.3,0.7237,True,32.7,0.0,0.0,2.0,0.0,finished,LOST
sr:match:74203108,Duhok FC,Gas Alshimal,Duhok FC vs Gas Alshimal,Stars League,2026-09-08 16:45,target__away_win,Away Win,23.6,20.0,3.6,5.0,0.7237,True,32.7,1.0,1.0,1.0,1.0,finished,LOST
sr:match:74299666,IF Gnistan,Kuopion Palloseura,IF Gnistan vs Kuopion Palloseura,Veikkausliiga,2026-09-08 17:00,target__away_win,Away Win,74.3,52.1,22.3,1.92,0.7237,True,32.7,0.0,1.0,1.0,1.0,finished,LOST
