market_name,specifier,outcome_desc,fixture_count,avg_true_prob,avg_implied_prob
1X2,,Draw,4086,0.2323,0.2607
1X2,,Away,4085,0.3294,0.3585
1X2,,Home,4085,0.438,0.4699
Double Chance,,Home or Away,3976,0.7649,0.8142
Double Chance,,Home or Draw,3975,0.6716,0.726
Double Chance,,Draw or Away,3974,0.5621,0.6257
Draw No Bet,,Home,3971,0.5678,0.6108
Draw No Bet,,Away,3970,0.4311,0.476
Odd/Even,,Even,3927,0.5113,0.5534
Odd/Even,,Odd,3927,0.4887,0.5309
Over/Under,total=3.5,Over 3.5,3613,0.3682,0.4072
Over/Under,total=3.5,Under 3.5,3613,0.6318,0.669
Over/Under,total=2.5,Over 2.5,3591,0.5511,0.5888
Over/Under,total=2.5,Under 2.5,3591,0.4489,0.4873
Correct Score,,0:0,3581,0.0636,0.0816
Correct Score,,0:1,3581,0.0698,0.0896
Correct Score,,0:2,3581,0.0487,0.063
Correct Score,,0:3,3581,0.0253,0.034
Correct Score,,0:4,3581,0.0109,0.018
Correct Score,,1:0,3581,0.0834,0.1065
Correct Score,,1:1,3581,0.1078,0.137
Correct Score,,1:2,3581,0.066,0.085
Correct Score,,1:3,3581,0.0326,0.0428
Correct Score,,1:4,3581,0.0134,0.02
Correct Score,,2:0,3581,0.068,0.0872
Correct Score,,2:1,3581,0.0775,0.0995
Correct Score,,2:2,3581,0.0536,0.0694
Correct Score,,2:3,3581,0.0233,0.0307
Correct Score,,2:4,3581,0.0091,0.0148
Correct Score,,3:0,3581,0.0403,0.0525
Correct Score,,3:1,3581,0.0441,0.0573
Correct Score,,3:2,3581,0.0269,0.0352
Correct Score,,3:3,3581,0.0133,0.0185
Correct Score,,3:4,3581,0.0046,0.0109
Correct Score,,4:0,3581,0.0195,0.0272
Correct Score,,4:1,3581,0.0205,0.0279
Correct Score,,4:2,3581,0.012,0.0175
Correct Score,,4:3,3581,0.0052,0.0111
Correct Score,,4:4,3581,0.0021,0.0101
Correct Score,,Other,3581,0.0583,0.0749
Excluded Goals,,2,3581,0.7755,0.8128
Excluded Goals,,3,3581,0.7909,0.828
Excluded Goals,,4,3581,0.8392,0.875
Excluded Goals,,5+,3581,0.8112,0.8469
Goal Bounds,,0,3581,0.0636,0.1163
Goal Bounds,,0-1,3581,0.2168,0.2601
Goal Bounds,,0-2,3581,0.4413,0.4817
Goal Bounds,,0-3,3581,0.6504,0.6891
Goal Bounds,,0-4,3581,0.8112,0.8469
Goal Bounds,,1,3581,0.1532,0.1981
Goal Bounds,,1-2,3581,0.3777,0.4187
Goal Bounds,,1-3,3581,0.5868,0.6262
Goal Bounds,,1-4,3581,0.7476,0.7854
Goal Bounds,,2,3581,0.2245,0.2671
Goal Bounds,,2-3,3581,0.4336,0.4741
Goal Bounds,,2-4,3581,0.5944,0.6338
Goal Bounds,,2-5+,3581,0.7832,0.8199
Goal Bounds,,3,3581,0.2091,0.2519
Goal Bounds,,3-4,3581,0.3699,0.4109
Goal Bounds,,3-5+,3581,0.5587,0.5982
Goal Bounds,,4,3581,0.1608,0.205
Goal Bounds,,4-5+,3581,0.3496,0.3909
Goal Bounds,,5+,3581,0.1888,0.2331
Excluded Goals,,1,3579,0.8467,0.8819
Away Team Clean Sheet,,Yes,3467,0.2251,0.2797
Home Team Clean Sheet,,Yes,3466,0.2843,0.3373
GG/NG 2+,,No,3465,0.833,0.8683
GG/NG 2+,,Yes,3465,0.167,0.2117
Away Team Clean Sheet,,No,3454,0.7741,0.8182
Home Team Clean Sheet,,No,3454,0.7148,0.7605
GG/NG,,No,3445,0.4469,0.4952
GG/NG,,Yes,3445,0.5531,0.6002
Excluded Goals,,0,3422,0.9342,0.9621
Goal Bounds,,1-5+,3422,0.9342,0.9621
Which Team To Score,,Both teams,3211,0.5479,0.5983
Which Team To Score,,None,3211,0.0638,0.077
Which Team To Score,,Only Away,3211,0.1633,0.192
Which Team To Score,,Only Home,3211,0.2251,0.2611
2nd Half - 1X2,,Away,3110,0.2968,0.3282
2nd Half - 1X2,,Draw,3110,0.3321,0.3681
2nd Half - 1X2,,Home,3110,0.3711,0.4059
Highest Scoring Half,,1st half,3110,0.3013,0.3348
Highest Scoring Half,,2nd half,3110,0.446,0.4842
Highest Scoring Half,,Equal,3110,0.2527,0.2829
2nd Half - Draw No Bet,,Home,3109,0.554,0.5949
1st Half - Draw No Bet,,Home,3108,0.5562,0.5972
2nd Half - Draw No Bet,,Away,3108,0.4455,0.4877
1st Half - 1X2,,Away,3107,0.2699,0.2985
1st Half - 1X2,,Draw,3107,0.3882,0.4246
1st Half - 1X2,,Home,3107,0.3419,0.3742
